User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Newmont Corporation,@NewmontCorp,2020-04-30T23:38:13.000Z,"Newmont Corporation
@NewmontCorp
·
May 1, 2020#Newmont teams around the world are implementing additional controls and instituting preventative measures to further protect our workforce and neighboring communities against the spread of COVID-19: https://newmont.com/blog-stories/blog-stories-details/2020/Additional-Measures-All-Newmont-Teams-Are-Taking-to-Combat-COVID-19/default.aspx…
7
18",,7,18
US Banking News,@AmericanBanking,2020-04-30T21:19:30.000Z,"US Banking News
@AmericanBanking
·
Apr 30, 2020FY2020 Earnings Estimate for Newmont Goldcorp Corp $NEM Issued By Jefferies Financial Group http://americanbankingnews.com/?p=14339038 #stocks",,,
Storm Investor,@storminvestor,2020-04-30T21:18:39.000Z,"Storm Investor
@storminvestor
·
Apr 30, 2020FY2020 Earnings Estimate for Newmont Goldcorp Corp $NEM Issued By Jefferies Financial Group  http://thestockobserver.com/?p=2916127 #markets",,,
Dakota Financial,@dakotafinancial,2020-04-30T21:15:18.000Z,"Dakota Financial
@dakotafinancial
·
Apr 30, 2020FY2020 Earnings Estimate for Newmont Goldcorp Corp $NEM Issued By Jefferies Financial Group http://dakotafinancialnews.com/?p=1846085",,,
Paradigm for Parity,@p4parity,2020-04-30T17:14:48.000Z,"Paradigm for Parity
@p4parity
·
Apr 30, 2020""The concept of hiring the best person for the job is inherently biased because it’s informed by your background and your biases."" - 
@boasare
, 
@NewmontCorp
 #PathtoParity",,,
Financial News Now,@FinNewsNow,2020-04-30T12:00:40.000Z,"Financial News Now
@FinNewsNow
·
Apr 30, 2020READ ABOUT THESE #STOCKS NOW: https://bit.ly/FNN-COVID19-MiningStocks…
@CLMCorp
 $CLM $SIOCF
@NewmontCorp
 $NGT $NEM
@TeckResources
 $TECK.A $TECK.B $TECK

#PretiumResources $PVG
#MillrockResources $MRO $MLRKF
@Resolution_LTD
 $RML
@Trilogy_Alaska
 $TMQ $S32
#MICROcapstocks #stockstowatch #mining
0:56
77 views",,,
US Banking News,@AmericanBanking,2020-04-30T02:54:05.000Z,"US Banking News
@AmericanBanking
·
Apr 30, 2020Newmont Goldcorp Corp $NEM Short Interest Update http://americanbankingnews.com/?p=14330678 #stocks",,,
Jose Jabalera,@JoseRJabalera,2020-04-30T00:38:22.000Z,"Jose Jabalera
@JoseRJabalera
·
Apr 30, 2020Replying to 
@USAmbMex
Industria minera trabajando por el bienestar de su comunidad 
@NewmontCorp
 
Newmont Corporation
@NewmontCorp
·
Apr 28, 2020
0:18
#Newmont’s Global Community Support Fund has been aiding relief initiatives in our communities. Our Peñasquito team, for example, donated 500 ProShield suits to the Zacatecas Health Secretariat for frontline workers.  https://newmont.com/operations-and-projects/health-and-safety/default.aspx
3",,,3
Newmont Corporation,@NewmontCorp,2020-04-29T19:21:54.000Z,"Newmont Corporation
@NewmontCorp
·
Apr 29, 2020Our US$20 Million Global Community Support Fund assists communities in combatting COVID-19. For example, in San Ignacio, Honduras, we distributed over $8,000 worth of food to families. https://newmont.com/operations-and-projects/health-and-safety/default.aspx…
5
14",,5,14
Making_mining_better,@mining_better,2020-04-29T17:53:42.000Z,"Making_mining_better
@mining_better
·
Apr 29, 2020Newmont (
@NewmontCorp
) Increases Quarterly Dividend by 79 percent to $0.25 Per Share http://commurowire.com/2020/04/29/newmont-newmontcorp-increases-quarterly-dividend-by-79-percent-to-0-25-per-share/…",,,
Nathanaël,@TransactionB,2020-04-29T16:08:40.000Z,"Nathanaël
@TransactionB
·
Apr 29, 2020Et pendant ce temps, 
@NewmontCorp
 augmente son dividende de 79%, passant de 0,14$ à 0,25$ par trimestre... 
1
1
7",1,1,7
Minnesota Miners,@MinnesotaMiners,2020-04-29T12:08:21.000Z,"Minnesota Miners
@MinnesotaMiners
·
Apr 29, 2020.
@MTMiningAssoc
 .
@TSRA_MT
 .
@MontanaMinded
 .
@CountonCoalMT
 .
@BlkButteCopper
 .
@ColstripUnited
 .
@Utah_Mining
 @kennecottutah
 .
@azmining
 @resolutioncu
 .
@ColoradoMining
 @NewmontCorp
 .
@nevadamining
 @BarrickGold
 .
@IdahoMining
 @MidasIdaho .
@PebbleProject
 .
@PTFAlaska
 @MinnesotaMiners
Minnesota Miners
@MinnesotaMiners
·
Apr 29, 2020
.@GovernorBullock While you sit on your hands doing nothing 1,200 good paying hardrock mining jobs hang in limbo. Remove the ""Bad Actor"" from .@HeclaMontana and Phillips Baker. 130 years of mining experience needs to count for something. Put people to work. @MinnesotaMiners
10
4",,10,4
TechLibre,@NTechlibre,2020-04-29T09:22:10.000Z,"TechLibre
@NTechlibre
·
Apr 29, 2020Replying to 
@RelevantPeter
Enough to pay the Higlanders of Peru to not block your gold road with burning tires, -or- stop stealing their land.
Right?
CC 
@SouthernCopper
 @NewmontCorp
?
-Or-
Enough to buy your own pick and shovel are both great first targets for Gold bugs getting into #bitcoin .",,,
Newmont Corporation,@NewmontCorp,2020-04-27T19:55:47.000Z,"Newmont Corporation
@NewmontCorp
·
Apr 27, 2020$NEM’s first quarter 2020 earnings conference call is scheduled for next Tuesday, May 5, at 9:00 a.m. ET. See the full details here: https://newmont.com/investors/news-release/news-details/2020/Newmont-Announces-First-Quarter-2020-Earnings-Call/default.aspx…
6",,,6
theminingstory,@theminingstory,2020-04-27T17:35:45.000Z,"theminingstory
@theminingstory
·
Apr 27, 2020As part of 
@NewmontCorp
 Musselwhite’s ongoing support for host communities around its operations, the company is donating $200,000 to boost local efforts combatting the #COVID19 pandemic
netnewsledger.com
NetNewsLedger - COVID-19: Newmont Musselwhite Donates $200,000 to Support Local Efforts
THUNDER BAY – Business – As part of Newmont Musselwhite’s ongoing support for host communities around its operations, the Company is pleased to donate CAD$200,000 to boost local efforts combatting...
4
9",,4,9
BoardEx,@BoardEx,2020-04-27T14:00:00.000Z,"BoardEx
@BoardEx
·
Apr 27, 2020On April 21, 2020, Maura J Clark started a role as #IndependentDirector at 
@NewmontCorp
. #BoardExAlerts #SP500 $NEM",,,
Minnesota Miners,@MinnesotaMiners,2020-04-27T12:51:07.000Z,"Minnesota Miners
@MinnesotaMiners
·
Apr 27, 2020.
@MTMiningAssoc
 .
@TSRA_MT
 .
@MontanaMinded
 .
@ColstripUnited
 .
@CountonCoalMT
 .
@Utah_Mining
 @kennecottutah
 .
@azmining
 @resolutioncu
 .
@ColoradoMining
 @NewmontCorp
 .
@nevadamining
 @BarrickGold
 .
@IdahoMining
 @MidasIdaho .
@AlaskaMiners
 .
@PTFAlaska
 @MinnesotaMiners
Minnesota Miners
@MinnesotaMiners
·
Apr 27, 2020
.@SteveDaines Great news for .@BlkButteCopper getting its permit. Now we need to see the same thing happen for .@HeclaMontana and Montanore & Rock Creek. Your support would go a long way to bringing jobs to Lincoln County. Time to get this done for Montana. @MinnesotaMiners
5
2",,5,2
Storm Investor,@storminvestor,2020-04-27T10:15:08.000Z,"Storm Investor
@storminvestor
·
Apr 27, 2020Insider Selling: Newmont Goldcorp Corp $NEM EVP Sells $150,377.79 in Stock  http://thestockobserver.com/?p=2902257 #markets",,,
Newmont Corporation,@NewmontCorp,2020-04-26T15:25:02.000Z,"Newmont Corporation
@NewmontCorp
·
Apr 26, 2020#Newmont’s Director of Government Relations, Lorna Shaw, has been making much-needed face masks for our CC&V workers. Lorna has completed 77 masks so far, all of them featuring vibrant designs!
8
27",,8,27
Storm Investor,@storminvestor,2020-04-26T14:13:55.000Z,"Storm Investor
@storminvestor
·
Apr 26, 2020Brokerages Set Newmont Goldcorp Corp $NEM Price Target at $56.27  http://thestockobserver.com/?p=2899876 #markets",,,
Dakota Financial,@dakotafinancial,2020-04-26T13:22:16.000Z,"Dakota Financial
@dakotafinancial
·
Apr 26, 2020Brokerages Set Newmont Goldcorp Corp $NEM Price Target at $56.27 http://dakotafinancialnews.com/?p=1831900
1",,,1
Transcript Daily,@TranscriptDaily,2020-04-26T10:08:55.000Z,"Transcript Daily
@TranscriptDaily
·
Apr 26, 2020Jennifer Cmil Sells 2,571 Shares of Newmont Goldcorp Corp $NEM Stock http://transcriptdaily.com/?p=3118103",,,
MarketBeat,@MarketBeatCom,2020-04-26T08:53:36.000Z,"MarketBeat
@MarketBeatCom
·
Apr 26, 2020Jennifer Cmil Sells 2,571 Shares of Newmont Goldcorp Corp $NEM Stock http://zpr.io/tJvn7",,,
Super-Krypto-Dude,@Superdu93061761,2020-04-26T02:31:33.000Z,"Super-Krypto-Dude
@Superdu93061761
·
Apr 26, 2020Replying to 
@TaviCosta
I like Newmont Corp Mining
4",,,4
Super-Krypto-Dude,@Superdu93061761,2020-04-26T02:04:24.000Z,"Super-Krypto-Dude
@Superdu93061761
·
Apr 26, 2020Replying to 
@RetirementRight
 @GrantMBeasley
 and 
@LawrenceLepard
Newmont Corp. up Huge +$20 in 4 weeks and just getting started.
1",,,1
